n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
33,24,0,1,-454,0,8,481,0
34,93,0,1,468,0,8,483,0
35,33,0,0,450,0,8,-453,0
36,55,0,0,-460,0,8,-460,0
37,55,0,0,-430,0,8,-430,0
38,22,0,1,444,0,8,444,0
40,8,0,0,-471,0,8,-471,0
41,69,0,0,-447,0,8,-447,0
42,35,0,1,448,0,8,448,0
43,43,0,0,-417,0,8,-417,0
44,36,0,0,-438,0,8,-438,0
46,5,0,0,-480,0,8,-480,0
47,49,0,0,-445,0,8,-482,0
48,80,0,0,-416,0,8,-498,0
1,83,1,0,472,1,8,-438,0
2,44,4,0,-400,1,8,-400,0
3,74,3,0,-478,1,8,-478,0
4,15,6,1,439,1,8,439,0
5,33,5,0,-474,1,8,-407,0
7,55,3,1,401,1,8,401,0
8,42,4,0,-429,1,8,-420,0
9,12,6,0,-486,1,8,-430,0
11,89,0,0,-442,1,8,-415,0
12,91,0,1,-439,1,8,475,0
13,42,4,0,-482,1,8,-482,0
14,10,6,0,-474,1,8,-474,0
15,28,5,0,-434,1,8,-434,0
17,89,0,1,437,1,8,490,0
18,23,0,0,478,1,8,-470,0
19,22,6,1,492,1,8,492,0
20,17,5,1,455,1,8,455,0
21,69,1,1,466,1,8,466,0
22,18,5,0,-420,1,8,-420,0
24,51,1,0,-470,1,8,-470,0
25,88,0,1,-488,1,8,491,0
27,27,4,1,411,1,8,411,0
28,6,6,0,-482,1,8,-482,0
29,68,2,1,441,1,8,441,0
30,13,1,0,-481,1,8,-481,0
32,46,2,0,-427,1,8,-428,0
33,33,4,1,401,1,8,476,0
34,33,4,0,-498,1,8,-414,0
35,18,5,1,417,1,8,417,0
36,87,0,0,414,1,8,-475,0
37,4,0,1,-440,1,8,489,0
38,74,0,0,442,1,8,-414,0
40,59,2,1,437,1,8,437,0
41,19,0,1,-407,1,8,454,0
42,59,2,1,401,1,8,401,0
43,85,0,0,463,1,8,-405,0
44,4,6,1,460,1,8,460,0
46,1,6,1,460,1,8,460,0
47,79,1,1,-455,1,8,448,0
48,1,6,0,-443,1,8,-443,0
1,33,5,1,403,0,9,403,0
2,55,6,0,444,0,9,-444,0
3,77,2,1,467,0,9,467,0
4,26,6,1,464,0,9,464,0
5,46,5,0,-410,0,9,-410,0
7,1,6,0,-434,0,9,-434,0
8,26,5,0,-428,0,9,-428,0
9,20,5,1,-426,0,9,427,0
11,48,5,0,468,0,9,-403,0
12,19,6,1,408,0,9,408,0
13,54,3,1,410,0,9,410,0
14,22,5,1,438,0,9,438,0
15,89,0,0,442,0,9,-449,0
17,78,1,0,-454,0,9,-454,0
18,91,0,0,-486,0,9,-455,0
19,7,6,0,-432,0,9,-432,0
20,62,1,1,430,0,9,430,0
21,52,2,0,-407,0,9,-407,0
22,19,5,0,-420,0,9,-420,0
24,1,6,0,-442,0,9,-442,0
25,52,2,0,-462,0,9,-462,0
27,14,6,1,488,0,9,488,0
28,18,6,1,401,0,9,401,0
29,59,2,0,-450,0,9,-496,0
30,33,4,0,422,0,9,-460,0
32,76,1,1,464,0,9,464,0
33,98,0,0,443,0,9,-456,0
34,49,3,1,474,0,9,474,0
35,57,2,1,487,0,9,487,0
36,3,6,1,444,0,9,444,0
37,41,4,0,-480,0,9,-480,0
38,36,2,1,-403,0,9,437,0
40,10,6,0,-424,0,9,-424,0
41,31,5,0,-468,0,9,-468,0
42,55,3,1,-456,0,9,423,0
